klass,part,feed_trend,I_trend,I_spikes,I_instab,V_instab,I_rs
Good,02-17-23-0099-00,increase,keep steady,1,2,2,6.426088976055138
Good,02-14-23-0074-00,increase,keep steady,1,2,2,1.9334026016989048
Good,02-13-23-0044-00,increase,keep steady,3,2,2,2.8648450919979425
Good,04-01-23-0031-00,decrease,keep steady,1,2,2,4.275018664156589
Good,02-17-23-0104-00,increase,keep steady,1,2,2,6.374383084902348
Good,02-09-23-0009-00,increase,keep steady,2,2,2,5.550740809828484
Good,02-13-23-0049-00,increase,keep steady,1,2,2,4.506805969246383
Good,02-09-23-0012-00,increase,keep steady,1,2,2,5.938618024878899
Good,02-09-23-0007-00,increase,keep steady,2,2,3,6.380704738601373
Good,04-01-23-0025-00,decrease,keep steady,1,2,2,2.868555728639792
Good,02-17-23-0138-00,increase,increase,1,2,2,5.9776557782996065
Good,04-01-23-0014-00,increase,keep steady,1,2,2,4.303012345454155
Good,04-01-23-0015-00,increase,keep steady,1,2,2,3.8116394961355606
Good,04-01-23-0011-00,decrease,keep steady,1,2,2,4.026642833248772
Good,04-01-23-0017-00,decrease,keep steady,1,2,2,3.9567245540496807
Undercut,03-15-23-0068-05,increase,keep steady,1,2,2,5.865266075876529
Undercut,03-15-23-0093-05,increase,keep steady,1,2,2,7.7758081193366655
Undercut,03-15-23-0078-05,increase,keep steady,1,2,2,6.455653552504375
Undercut,03-15-23-0088-05,increase,keep steady,1,2,2,6.981844673531169
Undercut,03-15-23-0061-05,increase,keep steady,1,2,2,8.86042718063791
Undercut,03-15-23-0122-05,increase,keep steady,1,2,2,5.92914015182048
Undercut,03-15-23-0046-05,increase,keep steady,1,2,2,7.595690275547981
Undercut,03-15-23-0049-05,increase,keep steady,1,2,2,7.225616526644193
Undercut,03-15-23-0091-05,increase,keep steady,1,2,2,9.979934231761266
Undercut,03-15-23-0084-05,increase,keep steady,1,2,2,7.802936811879141
