cat,joint,steel,split,part,top,nomI,nomV,nomSpeed,n_on,dur_s,I_mean,I_std,I_cv,V_mean,V_std,V_cv,feed_mean,gas_mean,press_mean,wire,n_img
Good,FILLET,FE410,TRAIN,04-01-23-0024-00,2_good_weld_2_02-09-23_Fe410,165,21.0,25,237,26.07,178.19789029535866,10.054069153692746,0.05642080911860613,17.455738396624472,1.5285583600527815,0.08756767117616569,0.23371308016877637,20.844092827004218,0.12919831223628692,5.9,5
Good,NON_FILLET,FE410,TRAIN,12-13-22-0423-00,good_weld_28_12-13-22_butt,160,22.0,30,234,25.74,146.22175213675214,14.08985584345607,0.09635950628110858,17.98346153846154,2.27045787308419,0.12625254977904685,36.35564102564103,17.473119658119657,0.0758974358974359,1452.46,5
Good,NON_FILLET,FE410,TRAIN,12-13-22-0355-00,good_weld_24_12-13-22_butt,150,19.0,30,235,25.85,149.4379574468085,11.904609934411509,0.07966255787890356,19.209404255319146,0.8816445312420388,0.04589650566585939,33.537574468085104,15.596595744680855,0.07306382978723402,1355.08,5
Good,NON_FILLET,FE410,TRAIN,09-26-22-0032-00,good_weld_4_09-26-22_plane_plate,170,22.0,30,234,25.74,174.776452991453,16.349456994563887,0.09354496395097008,23.090641025641023,2.0837608413574977,0.09024265887826949,44.88235042735043,12.87948717948718,0.1711965811965812,1854.43,5
Good,NON_FILLET,FE410,TRAIN,12-13-22-0452-00,good_weld_29_12-13-22_butt,165,21.0,30,235,25.85,154.50936170212765,10.588492181838348,0.06852977751763335,19.48889361702128,1.6269610288783802,0.08348144645098884,38.74553191489362,12.958127659574469,0.04774468085106384,1598.69,5
Good,NON_FILLET,FE410,TRAIN,10-21-22-0176-00,good_weld_15_10-21-22_Plane_Plate,155,20.0,30,232,25.52,140.71387931034485,9.854897766797428,0.07003500873614908,21.007284482758624,1.5736347607617382,0.07490900416249766,39.48478448275862,15.275689655172414,0.20310344827586202,1634.75,5
Good,NON_FILLET,FE410,TRAIN,09-29-22-0022-00,good_weld_8_09-29-22_butt,170,22.0,30,233,25.63,158.51416309012876,8.820554673553644,0.05564521492340347,23.26811158798283,1.6757133955561057,0.07201759322924828,33.35545064377682,12.054678111587982,0.060772532188841204,1665.41,5
Good,FILLET,FE410,TRAIN,02-16-23-0087-00,good_weld_5_02-16-23_Fe410,160,19.0,25,280,30.8,128.3205714285714,10.13986697058988,0.07901980841968237,20.338642857142855,1.3470563743125366,0.06623137953570267,43.239107142857144,4.27225,0.11460714285714284,2051.64,5
Good,FILLET,FE410,TRAIN,04-01-23-0007-00,2_good_weld_2_02-09-23_Fe410,165,21.0,25,238,26.18,178.40264705882353,12.75972534398017,0.07152206289726738,17.669285714285717,2.1496766301528787,0.12166177314201519,0.28516806722689075,21.505714285714284,0.10705882352941175,8.03,5
Good,NON_FILLET,FE410,TRAIN,12-13-22-0356-00,good_weld_24_12-13-22_butt,150,19.0,30,235,25.85,145.06612765957445,13.052693925070873,0.08997754428036797,19.46995744680851,1.5433484237708106,0.07926819706654234,33.20221276595745,14.62153191489362,0.12825531914893618,1344.59,5
Good,NON_FILLET,FE410,TRAIN,12-13-22-0330-00,good_weld_23_12-13-22_butt,150,20.0,30,236,25.96,138.81970338983052,8.595935922267751,0.06192158398529946,20.73627118644068,1.4675904678976754,0.07077407768747372,33.757923728813566,13.587288135593218,0.09444915254237289,1352.13,5
Good,NON_FILLET,FE410,TRAIN,11-20-22-0240-00,good_weld_18_11-18-22_plane_plate,160,22.0,30,222,24.42,148.26500000000001,12.132496721484518,0.08182980960769243,22.819909909909914,1.222775564993343,0.053583715703554684,37.48045045045045,15.498243243243246,0.07576576576576577,1469.51,5
